accepted_pages,category,evidence_recall,expected_evidence_count,final_found,loss_stage,mrr,query_type,question_id,report_id,selected_pages
[10],food_inflation,1.0,1,True,evidence_found,1.0,single_report,oct_dev_001,rbi_mpr_2025_10,"[10, 35, 24, 32, 30, 26]"
[10],monetary_policy,1.0,1,True,evidence_found,0.25,single_report,oct_dev_002,rbi_mpr_2025_10,"[66, 72, 11, 10, 71, 71]"
[10],core_inflation,1.0,1,True,evidence_found,0.2,single_report,oct_dev_003,rbi_mpr_2025_10,"[102, 34, 33, 32, 10, 96]"
[12],commodity_assumptions,1.0,1,True,evidence_found,1.0,single_report,oct_dev_004,rbi_mpr_2025_10,"[12, 12, 21, 22, 20, 13]"
[12],global_growth,1.0,1,True,evidence_found,1.0,single_report,oct_dev_005,rbi_mpr_2025_10,"[12, 9, 12, 20, 98, 52]"
[52],fiscal_borrowing,1.0,1,True,evidence_found,1.0,single_report,oct_dev_006,rbi_mpr_2025_10,"[52, 9, 52, 52, 80, 10]"
[5],food_inflation,1.0,1,True,lost_by_quota,0.2,single_report,apr26_dev_001,rbi_mpr_2026_04,"[83, 82, 94, 81, 5, 81]"
[26],monetary_policy,1.0,1,True,evidence_found,0.2,single_report,apr26_dev_002,rbi_mpr_2026_04,"[101, 101, 102, 34, 26, 27]"
[5],core_inflation,0.0,1,False,lost_by_quota,0.0,single_report,apr26_dev_003,rbi_mpr_2026_04,"[92, 94, 88, 90, 101, 16]"
[5],commodity_assumptions,0.0,1,False,lost_by_quota,0.0,single_report,apr26_dev_004,rbi_mpr_2026_04,"[110, 86, 40, 106, 116, 95]"
[5],global_growth,1.0,1,True,evidence_found,1.0,single_report,apr26_dev_005,rbi_mpr_2026_04,"[5, 25, 56, 13, 14, 16]"
[64],fiscal_borrowing,1.0,1,True,evidence_found,0.3333333333333333,single_report,apr26_dev_006,rbi_mpr_2026_04,"[65, 34, 64, 66, 32, 64]"
[12],food_inflation,1.0,1,True,evidence_found,0.5,pairwise_comparison,cmp_dev_001,rbi_mpr_2025_04,"[42, 12, 34, 32, 31]"
[10],food_inflation,1.0,1,True,evidence_found,1.0,pairwise_comparison,cmp_dev_001,rbi_mpr_2025_10,"[10, 35, 32, 26, 36]"
